date,yhat,lower,upper,scenario
2025-01-01,139.36584579994175,137.66980436272212,141.0618872371614,baseline
2025-02-01,142.79072421436908,141.09468277714944,144.4867656515887,baseline
2025-03-01,145.05845929307424,143.3624178558546,146.75450073029387,baseline
2025-04-01,145.30533216309382,143.6092907258742,147.00137360031346,baseline
2025-05-01,145.10225157223766,143.40621013501803,146.7982930094573,baseline
2025-06-01,142.44463567501856,140.74859423779893,144.1406771122382,baseline
2025-07-01,140.52298014431466,138.82693870709502,142.2190215815343,baseline
2025-08-01,138.76869514127458,137.07265370405494,140.4647365784942,baseline
2025-09-01,139.080467169461,137.38442573224137,140.77650860668064,baseline
2025-10-01,139.4334914609903,137.73745002377066,141.12953289820993,baseline
2025-11-01,141.65966334320052,139.9636219059809,143.35570478042015,baseline
2025-12-01,144.74087435864183,143.0448329214222,146.43691579586147,baseline
