date,yhat,lower,upper,scenario
2025-01-01,143.7666488338213,142.6918358327624,144.84146183488022,baseline
2025-02-01,151.71895127023217,150.64413826917325,152.79376427129108,baseline
2025-03-01,157.963360047651,156.8885470465921,159.03817304870992,baseline
2025-04-01,161.3088426476099,160.234029646551,162.38365564866882,baseline
2025-05-01,161.3165132315782,160.24170023051929,162.3913262326371,baseline
2025-06-01,158.4355983078778,157.36078530681888,159.5104113089367,baseline
2025-07-01,153.89779461243273,152.82298161137382,154.97260761349165,baseline
2025-08-01,149.35814267991688,148.28332967885797,150.4329556809758,baseline
2025-09-01,146.48822930276148,145.41341630170257,147.5630423038204,baseline
2025-10-01,146.50503478336535,145.43022178230643,147.57984778442426,baseline
2025-11-01,149.87613559432384,148.80132259326493,150.95094859538276,baseline
2025-12-01,156.1840635683325,155.1092505672736,157.25887656939142,baseline
